epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
88;11113,500;1,06284;0,66808;0,00631;0,90471;0,89474;0,93765;0,65975;1,11867;0,48180;0,00766;0,02138700;0,00712900;0,02138700;0,00712900;0,02138700;0,00712900;0,02138700;0,00712900
89;11393,400;1,05780;0,66707;0,00632;0,90725;0,89113;0,93799;0,66081;1,11667;0,47813;0,00765;0,02128800;0,00709600;0,02128800;0,00709600;0,02128800;0,00709600;0,02128800;0,00709600
90;11673,000;1,05805;0,65470;0,00624;0,90357;0,88972;0,93742;0,66057;1,11234;0,48193;0,00762;0,02118900;0,00706300;0,02118900;0,00706300;0,02118900;0,00706300;0,02118900;0,00706300
91;11952,700;1,05418;0,66109;0,00632;0,90631;0,88998;0,93760;0,66192;1,11125;0,48027;0,00761;0,02109000;0,00703000;0,02109000;0,00703000;0,02109000;0,00703000;0,02109000;0,00703000
92;12232,100;1,05693;0,65954;0,00631;0,90493;0,89191;0,93754;0,66211;1,11019;0,47836;0,00760;0,02099100;0,00699700;0,02099100;0,00699700;0,02099100;0,00699700;0,02099100;0,00699700
93;12511,700;1,04614;0,64614;0,00626;0,90957;0,88765;0,93774;0,66276;1,10821;0,47982;0,00759;0,02089200;0,00696400;0,02089200;0,00696400;0,02089200;0,00696400;0,02089200;0,00696400
94;12790,600;1,04591;0,65420;0,00622;0,90625;0,89010;0,93798;0,66383;1,10662;0,47867;0,00758;0,02079300;0,00693100;0,02079300;0,00693100;0,02079300;0,00693100;0,02079300;0,00693100
95;13069,900;1,04850;0,66308;0,00623;0,90407;0,89351;0,93817;0,66419;1,10515;0,47741;0,00756;0,02069400;0,00689800;0,02069400;0,00689800;0,02069400;0,00689800;0,02069400;0,00689800
96;13348,100;1,04711;0,65344;0,00621;0,91494;0,88281;0,93859;0,66529;1,10404;0,47557;0,00755;0,02059500;0,00686500;0,02059500;0,00686500;0,02059500;0,00686500;0,02059500;0,00686500
97;13627,400;1,04264;0,65364;0,00623;0,91413;0,88291;0,93868;0,66575;1,10291;0,47589;0,00755;0,02049600;0,00683200;0,02049600;0,00683200;0,02049600;0,00683200;0,02049600;0,00683200
98;13906,500;1,04382;0,65084;0,00617;0,91406;0,88282;0,93866;0,66593;1,10155;0,47417;0,00753;0,02039700;0,00679900;0,02039700;0,00679900;0,02039700;0,00679900;0,02039700;0,00679900
99;14186,500;1,04217;0,64727;0,00619;0,91421;0,88205;0,93917;0,66661;1,10082;0,47280;0,00752;0,02029800;0,00676600;0,02029800;0,00676600;0,02029800;0,00676600;0,02029800;0,00676600
100;14471,700;1,04004;0,64370;0,00614;0,91647;0,88092;0,93909;0,66715;1,10032;0,47200;0,00751;0,02019900;0,00673300;0,02019900;0,00673300;0,02019900;0,00673300;0,02019900;0,00673300
101;14751,700;1,03430;0,64332;0,00616;0,91026;0,88557;0,93894;0,66769;1,09975;0,47161;0,00751;0,02010000;0,00670000;0,02010000;0,00670000;0,02010000;0,00670000;0,02010000;0,00670000
102;15030,300;1,03775;0,64543;0,00619;0,91034;0,88565;0,93870;0,66758;1,09844;0,47004;0,00749;0,02000100;0,00666700;0,02000100;0,00666700;0,02000100;0,00666700;0,02000100;0,00666700
103;15310,500;1,03522;0,63965;0,00609;0,90274;0,89268;0,93838;0,66774;1,09769;0,46868;0,00749;0,01990200;0,00663400;0,01990200;0,00663400;0,01990200;0,00663400;0,01990200;0,00663400
104;15589,600;1,02397;0,63941;0,00605;0,90238;0,89423;0,93837;0,66811;1,09656;0,46881;0,00749;0,01980300;0,00660100;0,01980300;0,00660100;0,01980300;0,00660100;0,01980300;0,00660100
105;15869,000;1,03105;0,64103;0,00614;0,90754;0,88860;0,93849;0,66820;1,09632;0,46832;0,00749;0,01970400;0,00656800;0,01970400;0,00656800;0,01970400;0,00656800;0,01970400;0,00656800
106;16148,400;1,02861;0,63215;0,00610;0,90400;0,89279;0,93833;0,66837;1,09443;0,46922;0,00747;0,01960500;0,00653500;0,01960500;0,00653500;0,01960500;0,00653500;0,01960500;0,00653500
107;16427,200;1,02453;0,62851;0,00606;0,89940;0,89854;0,93871;0,66904;1,09418;0,46897;0,00747;0,01950600;0,00650200;0,01950600;0,00650200;0,01950600;0,00650200;0,01950600;0,00650200
108;16706,000;1,02019;0,63462;0,00602;0,90707;0,89336;0,93915;0,67004;1,09331;0,46741;0,00746;0,01940700;0,00646900;0,01940700;0,00646900;0,01940700;0,00646900;0,01940700;0,00646900
109;16986,700;1,02028;0,63120;0,00607;0,90274;0,89557;0,93889;0,67020;1,09224;0,46885;0,00745;0,01930800;0,00643600;0,01930800;0,00643600;0,01930800;0,00643600;0,01930800;0,00643600
110;17267,000;1,01380;0,62980;0,00596;0,90593;0,89290;0,93880;0,67099;1,09064;0,46876;0,00744;0,01920900;0,00640300;0,01920900;0,00640300;0,01920900;0,00640300;0,01920900;0,00640300
111;17546,800;1,01902;0,62164;0,00595;0,89906;0,89805;0,93881;0,67099;1,09015;0,47018;0,00743;0,01911000;0,00637000;0,01911000;0,00637000;0,01911000;0,00637000;0,01911000;0,00637000
112;17825,900;1,01350;0,62170;0,00595;0,90342;0,89610;0,93894;0,67100;1,08987;0,47012;0,00742;0,01901100;0,00633700;0,01901100;0,00633700;0,01901100;0,00633700;0,01901100;0,00633700
113;18104,300;1,00729;0,62099;0,00599;0,90842;0,89504;0,93991;0,67163;1,08919;0,46936;0,00741;0,01891200;0,00630400;0,01891200;0,00630400;0,01891200;0,00630400;0,01891200;0,00630400
114;18383,200;1,01012;0,62082;0,00598;0,90682;0,89283;0,94015;0,67221;1,08802;0,46932;0,00740;0,01881300;0,00627100;0,01881300;0,00627100;0,01881300;0,00627100;0,01881300;0,00627100
115;18662,200;1,00805;0,61904;0,00593;0,90401;0,89945;0,94040;0,67265;1,08720;0,46801;0,00740;0,01871400;0,00623800;0,01871400;0,00623800;0,01871400;0,00623800;0,01871400;0,00623800
116;18941,400;1,00393;0,61661;0,00594;0,90543;0,89884;0,94032;0,67298;1,08669;0,46843;0,00740;0,01861500;0,00620500;0,01861500;0,00620500;0,01861500;0,00620500;0,01861500;0,00620500
117;19220,900;1,00126;0,61020;0,00584;0,90811;0,89301;0,94010;0,67290;1,08576;0,46868;0,00739;0,01851600;0,00617200;0,01851600;0,00617200;0,01851600;0,00617200;0,01851600;0,00617200
